Time [ms],Date,Time,Rel.Time [s],Infinity|RESP.RR [BREATHS_PER_MIN],Infinity|ECG.PVC_RATE [BEATS_PER_MIN],Infinity|ECG.ST_LEAD_DERIVED_V5 [MM],Infinity|ECG.ST_LEAD_DERIVED_V2 [MM],Infinity|ECG.HR [BEATS_PER_MIN],Infinity|ECG.PP [PERCENT],Infinity|ECG.ARR [BEATS_PER_MIN],Infinity|NIBP.SYSTOLIC [MMHG],Infinity|NIBP.MEAN [MMHG],Infinity|NIBP.DIASTOLIC [MMHG],Infinity|SPO2.Pr [BEATS_PER_MIN],Infinity|SPO2.SATURATION [PERCENT]
1642287152557,2022-01-15,23:52:32.557,0,57.0000,1.0000,0.1000,0.1000,172.0000,,,,,,,
1642287152572,2022-01-15,23:52:32.572,0,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,98.0000
1642287153541,2022-01-15,23:52:33.541,1,57.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,98.0000
1642287154541,2022-01-15,23:52:34.541,2,56.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,98.0000
1642287155556,2022-01-15,23:52:35.556,3,54.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,98.0000
1642287156540,2022-01-15,23:52:36.540,4,49.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,98.0000
1642287157571,2022-01-15,23:52:37.571,5,51.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,98.0000
1642287158540,2022-01-15,23:52:38.540,6,51.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,98.0000
1642287159555,2022-01-15,23:52:39.555,7,51.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,171.0000,98.0000
1642287160571,2022-01-15,23:52:40.571,8,49.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,171.0000,98.0000
1642287161555,2022-01-15,23:52:41.555,9,45.0000,1.0000,0.1000,0.1000,175.0000,1.0000,1.0000,1.0000,1.0000,1.0000,171.0000,98.0000
1642287162555,2022-01-15,23:52:42.555,10,45.0000,1.0000,0.1000,0.1000,175.0000,1.0000,1.0000,1.0000,1.0000,1.0000,171.0000,98.0000
1642287163570,2022-01-15,23:52:43.570,11,45.0000,1.0000,0.1000,0.1000,175.0000,1.0000,1.0000,1.0000,1.0000,1.0000,171.0000,98.0000
1642287164554,2022-01-15,23:52:44.554,12,48.0000,1.0000,0.1000,0.1000,175.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
1642287165554,2022-01-15,23:52:45.554,13,48.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
1642287166569,2022-01-15,23:52:46.569,14,45.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
1642287167600,2022-01-15,23:52:47.600,15,45.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,99.0000
